MS;Region;Article ;Descriptor;Assessment criteria;Assessment;Summary;Score ;Conclusion;Source file
EL ;MED ;13;D7;Coverage of GES and targets ;"Greece’s GES definition for D7 permits permanent changes to hydrographical conditions where the impacts do not adversely affect marine ecosystems. This definition appears to be modelled after the definition provided by the MSFD and remains at this very general level. The PoM covers several activities identified by Greece as altering hydrographical conditions, preventing possible long-term effects of the pressures on ecosystems. It thus addresses the GES definition for D7. 

Greece has reported one target for D7, the prevention of environmental impact of permanent alterations in hydrographical conditions caused by local human activities. In addition, several indicators are provided, although not further described in terms of thresholds, time or spatial scales. As explained above, the existing measures reported only address a sub-set of relevant activities, mostly those related to the discharge of heat or salt into the marine environment. Even though, new measures reported in the PoM mainly aim to improve the effectiveness of the existing measures by updating regulations or providing guidance, they do cover additional activities such as coastal or dredging projects. 

Overall, measures address GES and targets, although it should be noted that the very general nature of these makes it hard to draw precise conclusions of their achievement.";The measures address the GES and target definition for D7. New and existing measures explicitly target the discharge of heat and salt into the marine environment. Other activities such as coastal and dredging projects are also covered. However, given the limited information about Greece’s measures, and the very generic definitions for GES and targets, it is not clear whether or not adverse effects on the ecosystem due to hydrographic changes are prevented.;3;Addressed ;https://circabc.europa.eu/ui/group/326ae5ac-0419-4167-83ca-e3c210534a69/library/49ab027b-8dd7-468a-a4f2-64dd7da37530/details
EL ;MED ;13;D7;Timelines ;"Timeline to achieve GES
Greece does not report whether or not GES will be achieved by 2020.

Timeline for implementing the PoM
One of the reported measures for D7 is an existing measure. Regarding the new measures, EL_D7_NE_03 was implemented in July 2018, and EL_D7_NE_01 will be implemented by the end of 2018. No timeline is provided for EL_D7_NE_02.  ";None of the new measures is in place by 2016 and Greece does not state whether or not GES will be achieved by 2020. As such, no conclusion can be drawn.;0;No conclusions ;https://circabc.europa.eu/ui/group/326ae5ac-0419-4167-83ca-e3c210534a69/library/49ab027b-8dd7-468a-a4f2-64dd7da37530/details
EL ;MED ;14;D7;Exceptions ;Greece does not apply an exception for D7. ;No exceptions are applied for D7.;na ;na;https://circabc.europa.eu/ui/group/326ae5ac-0419-4167-83ca-e3c210534a69/library/49ab027b-8dd7-468a-a4f2-64dd7da37530/details
EL ;MED ;13;D8;Coverage of pressures ;"In its Article 8 reporting, Greece identified the introduction of synthetic and non-synthetic compounds as an issue for its waters, pointing to marine hydrocarbon extraction, industry, agriculture, aquaculture, shipping and urban activities as underlying causes of these pressures in all three subregions. It also reported marine mining as a source of hazardous compounds in the Aegean-Levantine Sea. Some of these activities are covered by specific measures. Agriculture, aquaculture and urban activities are likely to be covered by WFD-related measures. Marine mining does not seem to be covered by any measure, although it is not clear whether or not this is a relevant activity in Greece, even though it has been reported in Article 8. Greece’s Article 8 report also identified shipping as a source of accidental pollution. Shipping is covered by existing and new measures reported for D8. In addition to the activities identified under Article 8, Greece also includes fisheries and port operations in its measures. The PoM thus partially addresses the reported pressures and activities.

At the subregional level in the Adriatic Sea, the majority of the Member States reported industry, shipping and urban activities as sources of hazardous compounds. In the Ionian/Central Mediterranean Sea, neighbouring Member States highlighted aquaculture, industry and urban activities. In the Aegean-Levantine Sea, Cyprus also reported industry, agriculture, urban activities and shipping as sources of hazardous compounds. Greece covers these activities in its PoM. In all subregions, shipping has been particularly noted as the activity responsible for accidental pollution, and this is covered by Greece in its PoM.

At the regional level, one of UNEP/MAP’s objectives is associated with contaminants: ‘Contaminants cause no significant impact on coastal and marine ecosystems and human health’ (with associated operational objectives and indicators). Greece, therefore, contributes to meeting this objective.";The measures partially address the reported pressures and activities. For the introduction of synthetic and non-synthetic compounds, marine hydrocarbon extraction, industry, agriculture, aquaculture, shipping and urban activities are covered either by measures specifically addressing these activities or by general measures. However, marine mining (reported in Article 8) does not seem to be covered by any measure. For acute pollution events, Greece’s PoM addresses shipping, as well as marine hydrocarbon extraction, fisheries and port operations. ;2;Partially addressed ;https://circabc.europa.eu/ui/group/326ae5ac-0419-4167-83ca-e3c210534a69/library/49ab027b-8dd7-468a-a4f2-64dd7da37530/details
EL ;MED ;13;D8;Coverage of GES and targets ;"Greece’s GES definition for D8 aims to gradually reduce the concentrations of hazardous substances and restrict their adverse impacts to ensure no major risks will ensue. The definition is further divided in two. The first part explains that hazardous substances should be kept at low levels and ultimately reach background values or zero. Therefore, the concentrations and impacts of hazardous substances are evaluated according to threshold values (limit reference points) suggested. The second part lists the concentration of contaminants in seabed habitat/biota.
Risks and impacts of pollution are likely to be covered by measures focusing on the implementation of various policies and targeting specific human activities. However, the lack of detail about Greece’s measures creates uncertainty about whether or not the impacts of pollution are fully covered, and the biological effects of contaminants are fully addressed. Therefore, the PoM partially addresses the GES definition for D8.

Greece defined one target for D8: investigation of impacts and determination of dominant trends of contaminant concentrations in the water column, sediments, marine organisms and ecosystems. The target definition is closely linked to the GES definition presented above. Similarly, therefore, it is likely that the targets defined for D8 are also partially addressed.";The measures partially address GES and targets, whose definitions are closely linked. Greece’s commitment to the WFD is likely to address their definition of GES in relation to the concentration of certain contaminants. Risks and impacts of pollution are likely to be covered by measures focusing on the implementation of various policies and targeting specific human activities. However, the lack of detail about Greece’s measures creates uncertainty about whether or not all impacts of pollution are covered, and biological effects of contaminants are fully addressed.;2;Partially addressed ;https://circabc.europa.eu/ui/group/326ae5ac-0419-4167-83ca-e3c210534a69/library/49ab027b-8dd7-468a-a4f2-64dd7da37530/details
EL ;MED ;13;D8;Timelines ;"Timeline to achieve GES
The assessment of marine waters in the Greek seas, with respect to chemical pollutants in sediments and organisms, based on data collected under the WFD and MEDPOL, as well as trends in the incidence of oil spills and illegal discharges, showed that the marine waters of Greece are at GES. GES is however not achieved in areas adjacent to industrial zones, although the implementation of various EU policies after EU accession has significantly reduced chemical pollution in areas defined as hot spots in the 1970s. Greece further explains that GES will be achieved by 2020, except in areas in narrow gulfs with intense industrial and urban activity. 

Timeline for implementation of the PoM
Greece does not report timelines for the implementation of the new measures, except EL_D8_NE_01 that will start to be implemented in 2018. ";Greece states that GES will be achieved by 2020 everywhere except in some specific areas (for which measures have been reported). Nevertheless, exceptions are not applied. Greece does not report a timeline for the implementation of most of its new measures (only one of them will be in place from 2018). As such, no conclusion can be drawn.;0;No conclusions ;https://circabc.europa.eu/ui/group/326ae5ac-0419-4167-83ca-e3c210534a69/library/49ab027b-8dd7-468a-a4f2-64dd7da37530/details
EL ;MED ;14;D8;Exceptions ;Greece does not apply an exception for D8. ;Greece does not apply an exception for D8. ;na ;na;https://circabc.europa.eu/ui/group/326ae5ac-0419-4167-83ca-e3c210534a69/library/49ab027b-8dd7-468a-a4f2-64dd7da37530/details
EL ;MED ;13;D9;Coverage of pressures ;Greece addresses the risk of hazardous contaminants in seafood through three existing measures that have direct impacts on the pressure, covering fisheries and aquaculture, as well as two measures that focus on monitoring and research. Other measures that aim to reduce contamination in Greece’s marine waters have been reported under the measures defined for D8. However, Greece does not explain how these measures can contribute to D9. ;The measures address the relevant pressures as they focus on fisheries and aquaculture. Other measures cover monitoring and research, and indirectly contribute to address the pressures. ;3;Addressed ;https://circabc.europa.eu/ui/group/326ae5ac-0419-4167-83ca-e3c210534a69/library/49ab027b-8dd7-468a-a4f2-64dd7da37530/details
EL ;MED ;13;D9;Coverage of GES and targets ;"Greece’s D9 GES definition states that it is necessary for fish and other seafood contaminant concentrations to remain below certain regulatory levels. In this way, public health is protected. It is associated with maximum levels of contaminants for six substances (these are also among those reported for D8). 

Greece defined a target for D9 that is quite similar to the GES definition: ‘Maintaining contaminant concentrations in fish and other seafood destined for human consumption at permissible levels’. It is linked to two indicators on concentrations and numbers of contaminants in fish and seafood for human consumption.

Greece is committed to the requirements of Regulation 1881/2006, as defined in an existing measure. The new measure aims to intensify seafood sampling to identify potential risks for human consumption. The measures defined for D9 should therefore address GES and targets. The measures defined under D8 could also contribute to addressing these definitions. ";The measures address GES and targets. Indeed, Greece is committed to the requirements of Regulation 1881/2006, as defined in an existing measure. The new measure aims to intensify seafood sampling to identify potential risks for human consumption.;3;Addressed ;https://circabc.europa.eu/ui/group/326ae5ac-0419-4167-83ca-e3c210534a69/library/49ab027b-8dd7-468a-a4f2-64dd7da37530/details
EL ;MED ;13;D9;Timelines ;"Timeline to achieve GES
Greece reports that GES is already achieved for D9.

Timeline for implementation of the PoM
Most of the measures are existing and implemented. Greece reports that its new measure (EL_D9_NE_01) is in place since 2006 (the Member State does not explain why it considers this measure as new). ";Greece reports that GES is already achieved, and the new measure was in place before 2016. As such, the timelines are appropriate. ;3;Appropriate ;https://circabc.europa.eu/ui/group/326ae5ac-0419-4167-83ca-e3c210534a69/library/49ab027b-8dd7-468a-a4f2-64dd7da37530/details
EL ;MED ;14;D9;Exceptions ;Greece does not apply an exception for D9.;Greece does not apply an exception for D9. ;na;na;https://circabc.europa.eu/ui/group/326ae5ac-0419-4167-83ca-e3c210534a69/library/49ab027b-8dd7-468a-a4f2-64dd7da37530/details
EL ;MED ;13;D10;Coverage of pressures ;"In its Article 8 reporting, Greece identified marine litter as a pressure on its marine waters, due to fisheries (including recreational fishing), urban activities, tourism and recreational activities (including yachting), and shipping. The measures reported address these activities, with additional issues also covered (such as port operations and solid waste disposal). Existing measures address litter coming from land-based sources and help reducing beach litter by regular and voluntary clean-up actions/campaigns. New measures include actions to reduce litter from sea-based sources as well, including shipping, fisheries and tourism. By covering both land-based and sea-based sources of marine litter, Greece addresses the pressures and activities reported in Article 8. Greece did not identify the pressure of micro-plastics (and related activities) in its Article 8, despite general agreement that this issue (and its different sources) is a pressure on all European waters. However, one new measure - investment in projects aimed at reducing micro-waste entering the environment from sewage systems - specifically addresses micro-litter.

At the subregional level in the Adriatic Sea, the majority of the Member States report urban activities as the main source of marine litter, while most of the Member States of the Ionian/Central Mediterranean Sea point to tourism/recreational activities, shipping and fisheries. In the Aegean-Levantine subregion, Cyprus has identified not only tourism/recreational activities, shipping and fisheries, but industrial and urban activities as well. The measures reported by Greece address these activities.

At the regional level, one of UNEP/MAP’s objectives concerns litter: ‘Marine and coastal litter do not adversely affect coastal and marine environment’ (associated with operational objectives and indicators). UNEP/MAP also published a report on the assessment of marine litter in the Mediterranean Sea, in which it acknowledges that this pressure constitutes a serious threat for the marine environment and is due to densely populated coasts (urban activities), well-developed tourism and the passage of 30% of global maritime traffic (shipping). These human activities thus represent some of the main sources of marine litter in the Mediterranean Sea. The report also mentions the growing concern about micro-plastics. These activities, including micro-plastics, are covered by the Greek measures although the PoM does not refer to UNEP/MAP regional plan for marine litter, which is a significant gap in the PoM.";The measures address the reported pressures and cover the reported activities. The existing and new measures reported by Greece cover both land-based and sea-based sources of litter: fisheries, urban activities, tourism/recreational activities, shipping, as well as additional activities such as industry. It should however be noted that the PoM does not refer to UNEP/MAP regional plan for marine litter.;3;Addressed ;https://circabc.europa.eu/ui/group/326ae5ac-0419-4167-83ca-e3c210534a69/library/49ab027b-8dd7-468a-a4f2-64dd7da37530/details
EL ;MED ;13;D10;Coverage of GES and targets;"The definition of GES for D10 is: ‘To achieve GES according to D10, it is desirable to reduce the quantities of marine litter in the coastal and marine environment to such an extent that they do not harm the environment or the organisms living in or depending on it. In the long-term, it is desirable to have totally litter-free coasts and seas. However, by 2020 the aim is to have achieved an important reduction in the amount of litter present’.
Greece has identified the following target as relevant for D10: ‘Reduction in litter of anthropogenic origin from the coastal and marine environment’.

The measures aim to reduce the amount of marine litter entering the marine environment from land-based (e.g. cleaning of beaches and riverbeds, in collaboration with local government) and sea-based sources (e.g. promotion of projects to improve port reception facilities for ship-generated waste). Greece’s PoM will therefore contribute to the achievement of GES. While the new measures have not been grouped into categories, the following groups or themes can be deduced: waste management on land, measures to reduce waste and promote recycling, micro-waste, waste from shipping, fishing for litter and awareness raising (sea-related professionals, public). The new measures all have a clear relationship with the target. ";The measures address the GES and target definitions. The measures aim to reduce the amount of litter entering the marine environment from land-based and sea-based sources, which enables the GES definition to be addressed. The new measures all have a clear link to the target, which is therefore also addressed.;3;Addressed ;https://circabc.europa.eu/ui/group/326ae5ac-0419-4167-83ca-e3c210534a69/library/49ab027b-8dd7-468a-a4f2-64dd7da37530/details
EL ;MED ;13;D10;Timelines ;"Timeline to achieve GES
Greece does not specify when GES will be achieved. 

Timeline for implementation of the PoM
No timelines for implementation of the new measures was provided.";Greece does not report a timeline for its new measures nor does it state whether or not GES will be achieved by 2020. As such, no conclusions can be drawn.;0;No conclusions ;https://circabc.europa.eu/ui/group/326ae5ac-0419-4167-83ca-e3c210534a69/library/49ab027b-8dd7-468a-a4f2-64dd7da37530/details
EL ;MED ;14;D10;Exceptions ;Greece does not apply an exception for D10.;Greece does not apply an exception for D10.;na;na;https://circabc.europa.eu/ui/group/326ae5ac-0419-4167-83ca-e3c210534a69/library/49ab027b-8dd7-468a-a4f2-64dd7da37530/details
EL ;MED ;13;D11;Coverage of pressures ;"Under Article 8, Greece has reported marine hydrocarbon extraction (oil & gas), defence operations, marine research and shipping as activities causing underwater noise. Marine research, hydrocarbon extraction and shipping are covered by the two new measures reported. No measure seems to specifically cover defence operations, but the Member State does not need to cover these activities, according to MSFD Article 2.2 . The measures therefore cover the activities reported in Article 8.

At the subregional level, most countries have reported the same activities as Greece. Indeed, marine hydrocarbon extraction and shipping have been reported by most neighbouring Member States in all subregions, while defence operations and marine research have especially been reported in the Adriatic and Aegean-Levantine Seas. Greece covers most of these activities through its measures.

At the regional level, one of UNEP/MAP’s objectives is associated with energy and noise: ‘Noise from human activities causes no significant impact on marine and coastal ecosystems’. Greece’s D11 PoM contributes to addressing this aim.";The measures address the pressures and activities identified in Greece’s Article 8 reporting. Shipping, hydrocarbon extraction and marine research are covered by the new measures. Even though one of the activities reported by Greece in its Article 8 (defence operations) does not seem to be covered by the measures, the Member State does not need to cover it (Article 2.2).;3;Addressed ;https://circabc.europa.eu/ui/group/326ae5ac-0419-4167-83ca-e3c210534a69/library/49ab027b-8dd7-468a-a4f2-64dd7da37530/details
EL ;MED ;13;D11;Coverage of GES and targets ;" In its text-based report, Greece indicates that GES for D11 is achieved when an adequate management of human activities, sources of underwater noise, enables to avoid significant long-term impacts on marine species and when introducing low frequency sound does not pose a significant risk to marine organisms. The two new measures directly aim to reduce noise in the marine environment from three different sources, while the existing measure will serve as an indicator of the effectiveness of the new measures. Also, respectively all measures and the new measures have been linked to ACCOBAMS and IMO MEPC.1/Circ.833 (Guidelines for the Reduction of Underwater Noise from Commercial Shipping to Address Adverse Impacts on Marine Life). Therefore, the GES definition (in terms of managing human activities, impacts and low frequency sound) is considered as addressed, although uncertainties remain due to a lack of details regarding the description of the measures.

Greece has reported one environmental target: control of energy levels and noise so that they do not adversely affect the marine environment. The reported target is vague, as neither the type of noise nor the components of the marine environment affected are specified. However, the measures reported by Greece work towards improving the available knowledge in this field, while directly addressing noise from different sources. Thus, as for the GES definition, the target is considered as addressed, although little detail is furnished. 

The measures thus address the GES and targets definitions.";The measures address the GES definition and targets. The two new measures directly aim to reduce noise from three different sources, while the existing measure will develop a database and serve as an indicator of the effectiveness of the new measures. This will reduce general noise levels, while improving the available information on noise impacts on the marine environment. The measures have also been linked to ACCOBAMS and IMO MEPC.1/Circ.833. As such, all elements of the GES and targets definitions (in terms of managing human activities, impacts and low frequency sound) are considered as covered by the measures (even though uncertainties remain).;3;Addressed ;https://circabc.europa.eu/ui/group/326ae5ac-0419-4167-83ca-e3c210534a69/library/49ab027b-8dd7-468a-a4f2-64dd7da37530/details
EL ;MED ;13;D11;Timelines ;"Timeline to achieve GES
Greece does not specify when GES will be achieved. 


Timeline for implementation of the PoM
Greece has not reported the timeline for implementation of the new measures. ";Greece does not report a timeline for its new measures nor does it state whether or not GES will be achieved by 2020. As such, no conclusions can be drawn.;0;No conclusions ;https://circabc.europa.eu/ui/group/326ae5ac-0419-4167-83ca-e3c210534a69/library/49ab027b-8dd7-468a-a4f2-64dd7da37530/details
EL ;MED ;14;D11;Exceptions ;No exceptions are applied for D11. ;Greece does not apply an exception for D11.;na;na;https://circabc.europa.eu/ui/group/326ae5ac-0419-4167-83ca-e3c210534a69/library/49ab027b-8dd7-468a-a4f2-64dd7da37530/details
ES ;MED ;13;D2;Coverage of pressures ;"In its Article 8 reporting, Spain identifies NIS introductions as a pressure in all five of its marine subdivisions. It highlights mostly shipping, fisheries and aquaculture activities as contributing to the spread of these species in the Bay of Biscay, Macaronesia and Western Mediterranean marine subregions. Spain also reports tourism/recreational activities as contributing to the spread of NIS in the Western Mediterranean marine subregion. Spain mentions solid waste disposal in its Article 8, but it is not clear what the Member State means by reporting this activity for this pressure (Spain is the only Member State that highlights this activity for NIS (D2)). This activity has not been considered for this assessment. 

Spain has reported measures dealing with aquaculture. The existing measure relates to Council Regulation (EC) No 708/2007 of 11 June 2007 but Spain has not provided information concerning specific actions or measures to meet the obligations of this regulation. Instead, it simply refers to the implementation of the regulation as a means of addressing the pressure. Concerning the new measures, this assessment considers that only four of the new measures reported by Spain as relevant to NIS introductions from aquaculture actually address this pressure. Measure EAl2 deals with the early detection and rapid eradication of NIS in at-risk areas such as ports and aquaculture areas, and should therefore directly address the pressure of NIS introductions. Measure EAI1 concerns improving knowledge on NIS which can indirectly lead to a better approach to addressing the pressure of NIS introductions through aquaculture. New measure H13 relates to supporting the development of the aquaculture sector through supporting innovation and entrepreneurship; these activities might indirectly help to address or prevent issues with NIS introductions through aquaculture activities. In addition to the existing and new measures specific to D2, Spain has reported an existing horizontal measure that addresses aquaculture and is related to D2, the M374 multi-annual Strategic Plan for Spanish Aquaculture 2014-2020.
In relation to shipping, five existing measures, one existing but not yet implemented measure and one new measure directly address NIS introductions by shipping activities. Measures M340 and M341 relate to guidance on the prevention of the spread of NIS through shipping by ballast water (M340) and fouling (M341 for the Mediterranean Sea, M343 for all regions). Measure M338 reports on the International Convention for the Control and Management of Ships' Ballast Water and Sediments. Measure M339 refers to the UNEP/MAP Action Plan on the introduction of species and invasive species in the Mediterranean. Measure M342 refers to the UNEP / MAP Guide for risk analysis on the assessment of the impacts of introduction of non-indigenous species (2008) in the Mediterranean. Finally, measure M346 refers to the EU Strategy on invasive species (environmental policy) which includes prevention of NIS introductions through trade, as well as the early detection and eradication of NIS and actions to control and maintain established NIS. The new measures reported by Spain focus on increasing knowledge related to NIS (EAI1) or the rapid detection and eradication of NIS (EAI2).
For fisheries, Spain reports one new measure (BIO46) that addresses this activity. This measure concerns the development of guidelines on artificial reefs. Artificial reefs are used in Spain to enhance fishing resources. Nevertheless, they could give rise to a number of negative impacts, including creating habitats for invasive species to thrive in. The measure will update existing guidelines of where and how to set up these reefs in order to minimise negative impacts, including those from NIS. It will thus have a direct impact on NIS introduction.  
Lastly, tourism is addressed by one existing measure (M341), but in a very general manner that also targets other activities. Overall, Spain’s PoM addresses the relevant pressure and activities through a set of existing and new measures which directly or indirectly impact the marine environment. 

At the subregional level, in both cases (NEA and the Western Mediterranean), neighbouring Member States report NIS as a pressure. In the NEA, France and Portugal report aquaculture and shipping (France also reports tourism in the Bay of Biscay), while in the Western Mediterranean, France and Italy report fisheries, aquaculture, tourism and shipping as vectors of NIS. All these activities have been covered by the Spanish measures. 

At the regional level, in the Mediterranean Sea, UNEP/MAP’s priority is monitoring the spread of invasive species, with the objective of maintaining NIS introduced by human activities at levels that do not adversely alter the ecosystem. Both monitoring and controlling NIS are covered by Spain’s PoM. UNEP/MAP identifies shipping as the main source of NIS, and this activity is addressed by Spain’s PoM. In the Atlantic region, OSPAR identifies aquaculture, shipping and fishing as the main sources of NIS and has defined a list of NIS in the region. Spain has identified aquaculture and shipping as sources of NIS in this region, but not fishing.";The PoM addresses the pressure of introduction of NIS and relevant activities including aquaculture, fisheries and shipping (ballast water and bio-fouling). Spain has defined existing and new measures that target these activities.;3;Addressed ;https://circabc.europa.eu/ui/group/326ae5ac-0419-4167-83ca-e3c210534a69/library/5d9d245e-2e94-4972-b335-b7ed783383db/details
ES ;MED ;13;D2;Coverage of GES and targets ;"The Spanish GES definition covers two aspects of NIS: the impact of NIS on biodiversity and native habitats, and the risk of NIS becoming established and spreading. As part of its NIS definition, Spain singles out the impact of non-indigenous macroalgae on native biota. 

Spain’s PoM has several measures that focus on the removal and/or eradication of NIS, covering both animal species such as mice, rats and mink (particularly on islands), as well as vegetation to protect or restore habitats (e.g. M353, M284). Spain does not specifically mention a marine NIS which is aimed to be eradicated through its measures. For the second part of the GES definition (addressing the establishment and spread of NIS) the PoM addresses activities that facilitate the spread of NIS (e.g. shipping), and includes monitoring of NIS to prevent new introductions, as well as rapid eradication. Spain’s PoM therefore addresses all components of the GES definition.

Spain has reported four targets as part of its Article 10 reporting (A1.2, A1.3, A1.5 and C3.6), each of which is addressed by its PoM. The targets deal with minimising introductions and the secondary expansion of NIS, NIS eradication, and improving knowledge on the presence, distribution, abundance and impacts of NIS. All of these aspects are addressed by various measures focused on regulating activities that act as NIS vectors (e.g. M340), on the rapid eradication of NIS (e.g. EAI3) and improving knowledge concerning NIS (e.g. M351).";The PoM addresses the GES and targets, as they cover controlling, monitoring, rapid detection and eradication of NIS and improving knowledge of NIS. ;3;Addressed ;https://circabc.europa.eu/ui/group/326ae5ac-0419-4167-83ca-e3c210534a69/library/5d9d245e-2e94-4972-b335-b7ed783383db/details
ES ;MED ;13;D2;Timelines ;"Timeline to achieve GES
To identify whether or not new measures were necessary to achieve GES, Spain conducted an analysis on the effectiveness of the existing measures. Based on this assessment, the competent authorities proposed new measures, which aim to support the achievement of GES. Nevertheless, no clear timelines are reported on whether or not GES is expected to be achieved by 2020. 

Timeline for implementation of the PoM
Spain reports that its new measures for D2 will be implemented between 2016 and 2020.";"Most measures are in place by 2016, few measures are reported to be implemented after 2016. No information is reported if GES will be achieved by 2020; as such a conclusion cannot be made.";0;No conclusions ;https://circabc.europa.eu/ui/group/326ae5ac-0419-4167-83ca-e3c210534a69/library/5d9d245e-2e94-4972-b335-b7ed783383db/details
ES ;MED ;14;D2;Exceptions ;Spain does not report any exception for D2.;Spain does not apply any exceptions for D2. ;na ;na ;https://circabc.europa.eu/ui/group/326ae5ac-0419-4167-83ca-e3c210534a69/library/5d9d245e-2e94-4972-b335-b7ed783383db/details
ES ;MED ;13;D3 ;Coverage of pressures ;"In its Article 8 reporting Spain identified fisheries - including recreational fishing - as a relevant factor for the pressure ‘extraction of species’ (fish and shellfish) in each of the relevant subdivisions. Additionally, it has reported seaweed harvesting as a relevant activity for the pressure ‘extraction of species’ (fish and shellfish) in the Bay of Biscay and Iberian coast, and the Western Mediterranean. Commercial fisheries are addressed in all regions through existing and new measures related to the CFP (e.g. M186, M333) and ICCAT (e.g. M488, M489), as well as local and national management measures (e.g. M195). Non-CFP stocks, including shellfish, are also addressed by various local/national measures. Recreational fisheries are addressed through the Royal Decree regulating recreational sea fishing in offshore waters (M197), the multi-annual recovery plan for bluefin tuna (M180), regulation of activities in marine reserves (M174 and M175), recreational fishing legislation with an autonomous scope (M497) and by new measure BIO18 which modifies Royal Decree 347/2011 of 11 March regulating recreational marine fishing in international waters. Seaweed harvesting is addressed in the Bay of Biscay and Iberian Coast by measure M205, but not in the Mediterranean where it was also indicated as relevant. 

In the Bay of Biscay and Iberian Coast, Spain, France and Portugal all reported fisheries - including recreational fishing - as a relevant activity for the pressure ‘extraction of species’ (fish and shellfish). Only Spain has reported the activity ‘Seaweed and other sea-based food harvesting’ as relevant. In Macaronesia, both Spain and Portugal have reported fisheries, including recreational fishing, as relevant. Finally, in the Mediterranean, Spain, France and Italy all report fisheries - including recreational fishing - as a relevant activity for the pressure ‘extraction of species. Only Spain has reported ‘Seaweed and other sea-based food harvesting’ as a relevant activity related to this pressure. It is unclear if this activity is relevant in the Mediterranean, as Spain excludes it from the PoM. 

At a regional level, Spain refers to the Regional Fisheries Management Organisations (RFMOs) GFCM and ICCAT. Also, it refers to several OSPAR recommendations and one UNEP/MAP Action Plan for protecting vulnerable species.

For example, ICCAT regulations are included in the following measures: 
•	M488 – recovery plan for bluefin tuna in Eastern Atlantic and Mediterranean, recommendation for management measures for Mediterranean swordfish.
•	M491 – ICCAT recommendations on research.
•	M489 – ICCAT recommendations for species recovery plans (blue marlin and white marlin, albacore).
•	M490 – regulation of fishing activity relative to sustainable conservation and exploitation of certain species – catch limits and temporary closures, including catch documentation programmes, catch control standards, reducing juvenile catches and discards of swordfish.

GFCM-related measures include: 
•	Fishing exclusion zones for recovery of fish stocks (M483), also mentions coordination with UNEP-MAP on protected areas.
•	Exploitation of red coral (M492).
•	Measures on mesh size (within M199).";The PoM partially addresses the activities of commercial and recreational fisheries, as well as seaweed harvesting in all Spanish subdivisions except the Western Mediterranean ones. CFP stocks and national/local (non-CFP) stocks are addressed through the measures, and both commercial and recreational fisheries are included in the measures. Harvesting of algae (Bay of Biscay and Macaronesia subregions) and of red coral (in the two Western Mediterranean subdivisions) are also included. However, given the state of fisheries resources in the Mediterranean, it is not clear whether the management measures represent a sufficient departure from the status quo to address the problem.;2;Partially addressed ;https://circabc.europa.eu/ui/group/326ae5ac-0419-4167-83ca-e3c210534a69/library/5d9d245e-2e94-4972-b335-b7ed783383db/details
ES ;MED ;13;D3 ;Coverage of GES and targets ;"The GES components of fishing mortality (F) and spawning stock biomass (SSB) are addressed by Spain’s PoM through the various measures under the CFP, national legislation and regional (GFCM, OSPAR, UNEP/MAP) and international (ICCAT) measures. The PoM addresses not only CFP stocks but also non-CFP stocks and shellfish through various national measures. The Spanish PoM will contribute to achieve or maintain GES. 

Spain reported 12 targets as relevant to Descriptor 3 as part of its Article 10 reporting; however, not all of these targets are necessarily relevant to Descriptor 3 (A1.5, A1.6 C.1.1, C1.2). The measures relevant to D3 address size distribution, the large fish indicator, distribution and range, exploitation of stocks within safe biological limits and improved data collection. Each of these targets is addressed by the PoM. Size distribution and the large fish indicator are addressed through mesh size restrictions (e.g. M199) and minimum sizes for certain fish species (M198), as well as some measures related to marine reserves, which can offer protection for large size individuals of certain species. Targets A3.4 and C1.6 related to exploiting stocks within safe biological limits are addressed by the numerous existing measures that relate to the CFP and associated regulations, international (ICCAT) regulations, regional (GFCM) regulations and regulations for local/national stocks. Measure EC1 related to the decommissioning of fishing vessels for the purpose of reducing fleet excess capacity should also facilitate the exploitation of stocks within safe biological limits. Target C3.7 relating to the improved data collection of commercially exploited stocks in relation to GES is addressed by various measures, including BIO19 updating the current fisheries Electronic Logbook, BIO20 focusing on studies on specific artisanal fisheries, EC5 on improving cooperation between scientists and fishermen, and H5 ACTIONMED supporting integrated regional monitoring programmes. Lastly, target A3.4 on the distribution and range of species should also be addressed by the PoM for commercially exploited species through the various management measures even though this target is not addressed by any specific measure. Overall the PoM sufficiently addresses the relevant targets.";The PoM addresses D3 GES and targets. In all subdivisions, the targets tackle the sustainable exploitation of commercial stocks and - indirectly - size distribution.  ;3;Addressed ;https://circabc.europa.eu/ui/group/326ae5ac-0419-4167-83ca-e3c210534a69/library/5d9d245e-2e94-4972-b335-b7ed783383db/details
ES ;MED ;13;D3 ;Timelines ;"Timeline to achieve GES
To identify whether or not new measures were necessary to achieve GES, Spain conducted an analysis of the effectiveness of the existing measures. Based on this assessment the competent authorities proposed new measures. No timeline was provided for the achievement of GES. 

Timeline for implementation of the PoM
Spain reports that its new measures for D3 will be implemented between 2015 and 2020.";"Most measures are in place by 2016, few measures are reported to be implemented after 2016. No information is reported if GES will be achieved by 2020; as such a conclusion cannot be made.  ";0;No conclusions ;https://circabc.europa.eu/ui/group/326ae5ac-0419-4167-83ca-e3c210534a69/library/5d9d245e-2e94-4972-b335-b7ed783383db/details
ES ;MED ;14;D3 ;Exceptions ;"Spain has not applied any exceptions for D3.
";Spain does not apply any exceptions for D3.;na;na;https://circabc.europa.eu/ui/group/326ae5ac-0419-4167-83ca-e3c210534a69/library/5d9d245e-2e94-4972-b335-b7ed783383db/details
