Recommendation code;Recommendations ;Applicable MS or (sub)region;Applicable descriptors;URL Commission report;comments
Art13/2016/LT/Rec15;The Member State should make more links to the CFP.;LT;D3;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/LT/Rec16;The Member State should clearly address atmospheric deposition of nutrients (NOx) from sea-based and land-based sources.;LT;D5;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/LT/Rec17;The Member State should more robustly and scientifically justify the exception for not achieving GES by 2020 in the case of eutrophication (D5).;LT;D5;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/LT/Rec18;The Member State should establish specific measures for D7 to address the pressure of hydrographical changes and cover the activities reported as sources of this pressure in Article 8 (marine hydrocarbon extraction, port operations, and tourism and recreation).;LT;D7;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/LT/Rec19;The Member State should utilise synergies with the EIA and SEA Directives, WFD, MSPD, UWWTD and ICZM processes.;LT;D7;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/LT/Rec20;The Member State should address cumulative impacts.;LT;D7;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/LT/Rec21;The Member State should define GES and targets for hydrographical changes.;LT;D7;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/LT/Rec22;The Member State should cover the whole list of contaminants mentioned in the GES and target definitions (or, if this is already the case, provide more details).;LT;D8/D9;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/LT/Rec23;The Member State should consider establishing additional measures to remove existing litter (e.g. through beach cleaning campaigns), or, if this is already the case, provide more details.;LT;D10;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/LT/Rec24;The Member State should address micro-litter.;LT;D10;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/LT/Rec25;The Member State should develop efforts to prevent, identify and tackle pollution hot spots (e.g. from plastic pellets, lost fishing gear, single-use plastics, etc.).;LT;D10;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/LT/Rec26;The Member State should define GES and targets for marine litter.;LT;D10;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/LT/Rec27;The Member State should consider establishing additional measures to directly cover defence operations , marine-based renewable energy generation, fisheries and submarine cable and pipeline operations.;LT;D11;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/LT/Rec28;The Member State should consider establishing measures that target other energy inputs, if relevant (e.g. heat, light).;LT;D11;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/LT/Rec29;The Member State should define GES and targets for underwater noise.;LT;D11;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/LT/Rec30;The Member State should consider establishing additional measures to directly address pressures on birds, such as physical disturbances (light pollution), disturbances on nesting sites by predation, effects of NIS and litter ingestion, as well as measures covering birds’ food sources. If these are to be addressed via measures reported for other descriptors, the expected effect that measures are to have on birds should be explained.;LT;D1, 4 – Birds;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/LT/Rec31;The Member State should clearly explain which species are covered by the measures, and consider establishing additional measures targeting other specific bird species, if these are not already covered by the PoM.;LT;D1, 4 – Birds;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/LT/Rec32;The Member State should consider establishing additional measures to directly address impacts of oil spills on birds, as specified in the GES and targets definitions.;LT;D1, 4 – Birds;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/LT/Rec33;The Member State should consider establishing additional measures (including spatial protection measures to protect non-commercial fish species) to directly address pressures on fish, such as from introductions of NIS and marine litter. If these are to be addressed via measures reported for other descriptors, the expected effect that measures are to have on fish should be explained.;LT;D1, 4 – Fish;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/LT/Rec34;The Member State consider establishing additional measures specifically focusing on non-commercial fish.;LT;D1, 4 – Fish;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/LT/Rec35;The Member State should justify the exception for not achieving GES by 2020 in the case of food webs (D4, see description of the exception above), more robustly and scientifically.;LT;D1, 4 – Fish;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/LT/Rec36;The Member State should consider establishing additional measures to further address relevant pressures on mammals such as impacts on mammals due to shipping (collision), marine litter and underwater noise. If these are to be addressed via measures reported for other descriptors, the expected effect that measures are to have on mammals should be explained.;LT;D1, 4 – Mammals;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/LT/Rec37;The Member State should report more details about its measures to clearly understand which pressures and activities are covered and to what extent.;LT;D1, 4 – Mammals;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/LT/Rec38;The Member State should consider establishing additional measures targeting specific mammal species, or clearly explain which species are covered by the measures.;LT;D1, 4 – Mammals;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/LT/Rec39;The Member State should define GES and targets for mammals.;LT;D1, 4 – Mammals;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/LT/Rec40;The Member State should consider establishing additional measures to tackle some pressures associated with water column habitats, especially beyond the Curonian lagoon, such as NIS and marine litter. If these are to be addressed via measures reported for other descriptors, the expected effect that measures are to have on water column habitats should be explained.;LT;D1, 4 – Water column habitats;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/LT/Rec41;The Member State should clearly cover plankton populations in its measures.;LT;D1, 4 – Water column habitats;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/LT/Rec42;The Member State should justify the exception for not achieving GES by 2020 in the case of food webs (D4, see description of the exception above), more robustly and scientifically.;LT;D1, 4 – Water column habitats;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/LT/Rec43;The Member State should consider establishing additional measures, including spatial protection measures, covering fisheries (especially directly reducing the impact of bottom trawling), dredging and port operations as well as other activities potentially destructive to seabed habitats.;LT;D1, 4, 6 – Seabed habitats;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/LT/Rec44;The Member State should avoid promoting dredging operations for denitrification, considering the impacts this activity has on seabed habitats. ;LT;D1, 4, 6 – Seabed habitats;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/LT/Rec45;The Member State should report more details about its measures to clearly understand which pressures and activities are covered and to what extent.;LT;D1, 4, 6 – Seabed habitats;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/LT/Rec46;If seabed habitats are to be addressed via measures reported for other descriptors (e.g. D2, D5, D10), the expected effect that measures are to have on seabed habitats should be explained.;LT;D1, 4, 6 – Seabed habitats;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/LT/Rec47;The Member State should consider establishing additional spatial protection measures and provide details on protected areas (and MPAs) such as their area of coverage or temporal ranges of restrictions. The Member State should provide timescales and estimates of how spatial restrictions of seabed-damaging activities will allow for GES to be achieved.;LT;D1, 4, 6 – Seabed habitats;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/LV/Rec01;In general, the Member State should better address certain pressures and activities. These are specified in the descriptor specific recommendations below. ;LV;General;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/LV/Rec02;GES and targets definitions should be better addressed for NIS (D2), hydrographical changes (D7) and underwater noise (D11), birds, fish, mammals, water column habitats (D1, 4) and seabed habitats (D1, 4, 6).;LV;General;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/LV/Rec03;The Member State should strive to determine the timelines for achieving GES.;LV;General;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/LV/Rec04;GES and targets should be defined for hydrographical changes (D7), contaminants (D8), marine litter (D10), underwater noise and energy (D11), birds, fish and mammals (D1, 4).;LV;General;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/LV/Rec05;The Member State should establish more links with existing EU policies and international instruments for the biodiversity descriptors (D1, 4, 6), hydrographical changes (D7), contaminants (D8), contaminant in seafood (D9) and underwater noise and energy (D11). ;LV;General;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/LV/Rec06;The Member State should provide more information about its spatial protection measures (representation of species and habitats within the MPAs, the size, number and location of MPAs, the conservation objectives of the MPAs) and establish additional ones that have direct effects on the pressures.;LV;General;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/LV/Rec07;The Member State should establish more measures that have a direct impact on the pressures and implement them before 2020.;LV;General;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/LV/Rec08;The Member State should provide more details about its new measures. This will allow for a better understanding of how the PoM will support progress towards targets and GES for all descriptors.;LV;General;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/LV/Rec09;The Member State should quantify the pressures present in its waters and their expected level of reduction as a result of the established measures. This could be facilitated by further efforts to address knowledge gaps and define the methodology for such estimations at regional or EU level. Such quantification will also contribute to linking the measures with the achievement of GES.;LV;General;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/LV/Rec10;The Member State should define the spatial scope of all its measures (both existing and new) in detail. Furthermore, the spatial scope of measures should be expanded to cover marine waters beyond coastal waters, where relevant pressures are present. The Member State should consider establishing additional measures beyond spatial protection efforts to address species and habitats. It is important that pressures are addressed across all marine waters.;LV;General;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/LV/Rec11;The Member State should ensure better linkages between its PoM and Monitoring Programmes, in order to ensure that the effects of the measures, and hence their efficiency and effectiveness in meeting targets and GES, are measured through the Monitoring Programmes.;LV;General;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/LV/Rec12;The Member State should report data collection efforts under the MSFD Monitoring Programmes (Article 11) and not under the Programme of Measures (Article 13). However, when knowledge is too scarce to design effective measures, it is useful to indicate actions taken to address these gaps via research measures.;LV;General;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/LV/Rec13;The Member State should establish measures having direct impact on NIS from shipping (ballast water and anti-fouling, including recreational vessels).;LV;D2;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/LV/Rec14;The Member State should establish early warning systems for introductions of NIS as measures.;LV;D2;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/LV/Rec15;The Member State should establish measures that implement seasonal and/or spatial fishing bans in its PoM.;LV;D3;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/LV/Rec16;The Member State should implement new measures within the MSFD established time-frame.;LV;D3;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/LV/Rec17;The Member State should establish measures covering additional aspects, such as nutrient inputs from aquaculture.;LV;D5;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/LV/Rec18;"The Member State should establish measures to tackle hydrographical changes; or clearly report which of the other descriptor measures will contribute to addressing pressure, GES and targets for hydrographical changes (D7) and how. ";LV;D7;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/LV/Rec19;The Member State should better address pressures from activities not subject to local/project scale EIAs (e.g. fishing, shipping). In some cases (e.g. hydrological changes where local dimension is important) this gap hampers the assessment of cumulative effects.;LV;D7;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/LV/Rec20;"The Member State should establish dedicated measures for contaminants in seafood (D9); or should better explain the way the contaminants (D8) measures contribute to contaminants in seafood D9 targets.";LV;D8/D9;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/LV/Rec21;The Member State should address micro-litter better, preferably through direct measures.;LV;D10;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/LV/Rec22;The Member State should establish additional research efforts to address data gaps, increase knowledge and pave the way for direct action.  ;LV;D10;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/LV/Rec23;The Member State should make efforts to prevent, identify and tackle pollution hot spots (e.g. from plastic pellets, lost fishing gear, single-use plastics, etc.).;LV;D10;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/LV/Rec24;The Member State should establish direct measures to cover activities that are known to produce high levels of noise, as soon as possible (e.g. shipping for continuous noise).;LV;D11;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/LV/Rec25;The Member State should consider establishing measures that target other energy inputs if possible (e.g. heat, light).;LV;D11;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/LV/Rec26;The Member State should establish additional and dedicated measures to address pressures on birds beyond by-catch. Measures could target disturbances on nesting sites by predation, effects of NIS, contaminants, noise and light pollution as well as litter ingestion. The measures should also cover birds’ food sources. If these are to be addressed via measures reported for other descriptors, the expected effect that measures are to have on birds should be explained.;LV;D1, 4 – Birds;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/LV/Rec27;The Member State should establish additional and dedicated measures with direct effect on pressures that include additional MPAs in open sea areas to protect commercial and non-commercial fish species from various pressures (NIS, by-catch, noise and contaminants). If these are to be addressed via measures reported for other descriptors, the expected effect that measures are to have on fish should be explained.;LV;D1, 4 – Fish;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/LV/Rec28;The Member State should provide better information on existing MPAs and the level of protection they provide for fish (commercial and non-commercial), in relation to where fish species occur within the Member State's territorial waters, and how they are protected.;LV;D1, 4 – Fish;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/LV/Rec29;The Member State should establish additional and dedicated measures, including spatial protection measures, to address relevant pressures on mammals beyond by-catch (e.g. impacts on mammal habitats due to shipping (collision), contaminants, underwater noise, entanglement, and ingestion of litter). If these are to be addressed via measures reported for other descriptors, the expected effect that measures are to have on mammals should be explained. ;LV;D1, 4 – Mammals;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/LV/Rec30;The Member State should establish dedicated measures to tackle the pressure associated with water column habitats (and plankton). If these are to be addressed via measures reported for other descriptors (such as D2, D5, D8, D10), the expected effect that measures are to have on water column habitats should be explained.;LV;D1, 4 – Water column habitats;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/LV/Rec31;The Member State should establish measures covering all aspects of recreational activities (e.g. fishing, vessels mooring, diving) and important pressures (e.g. coastal development and mineral/aggregate extraction from the seabed).;LV;D1, 4, 6 – Seabed habitats;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/LV/Rec32;The Member State should provide timescales and estimates of how spatial restrictions of seabed damaging activities will allow for GES to be achieved.;LV;D1, 4, 6 – Seabed habitats;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/LV/Rec33;The Member State should establish measures that extend beyond spatially protected areas (and MPAs) to ensure a wider spatial coverage for these habitats.;LV;D1, 4, 6 – Seabed habitats;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/LV/Rec34;If seabed habitats are to be addressed via measures reported for other descriptors (e.g. D2, D5, D10), the expected effect that measures are to have on seabed habitats should be explained.;LV;D1, 4, 6 – Seabed habitats;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/MT/Rec01;In general, the Member State should better address certain pressures and activities. These are specified in the descriptor specific recommendations below. ;MT;General;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/MT/Rec02;GES and targets definitions should be better addressed for contaminants (D8), underwater noise and energy (D11), fish (D1, 4) and seabed habitats (D1, 4, 6).;MT;General;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/MT/Rec03;The Member State should strive to determine the timelines for achieving GES (relevant for hydrographical changes (D7), underwater noise and energy (D11), birds, fish, mammals (D1, 4) and seabed habitats (D1, 4, 6)) and, where there are delays beyond 2020, to report exceptions provided these are adequately justified (relevant for marine litter (D10)).;MT;General;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/MT/Rec04;The Member State should provide GES definitions for water column habitats (D1, 4).;MT;General;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/MT/Rec05;The Member State should establish more links with existing EU policies and international instruments for eutrophication (D5), hydrographical changes (D7), contaminants (D8) and underwater noise (D11).;MT;General;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/MT/Rec06;The Member State should clearly explain whether the PoM will be timely implemented (new measures in place after 2016).;MT;General;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/MT/Rec07;The Member State should provide more information about its measures (especially the existing ones) to understand how they will contribute to progress towards targets and GES (as defined by the Member State).;MT;General;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/MT/Rec08;The Member State should quantify the pressures present in its waters and their expected level of reduction as a result of the established measures. This could be facilitated by further efforts to address knowledge gaps and define the methodology for such estimations at regional or EU level. Such quantification will also contribute to linking the measures with the achievement of GES.;MT;General;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/MT/Rec09;The Member State should make better links between the groups of measures reported for pressure descriptors and their effects on the state descriptors. This would allow a comprehensive view of the impact of measures affecting all descriptors. ;MT;General;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/MT/Rec10;The Member State should ensure better linkages between its PoM and Monitoring Programmes, in order to ensure that the effects of the measures, and hence their efficiency and effectiveness in meeting targets and GES, are measured through the Monitoring Programmes.;MT;General;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/MT/Rec11;The Member State should report data collection efforts under the MSFD Monitoring Programmes (Article 11) and not under the Programme of Measures (Article 13). However, when knowledge is too scarce to design effective measures, it is useful to indicate actions taken to address these gaps via research measures.;MT;General;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/MT/Rec12;The Member State should establish measures to address atmospheric deposition of nutrients from sea-based and land-based sources.;MT;D5;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/MT/Rec13;The Member State should address cumulative impacts.  ;MT;D7;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/MT/Rec14;The Member State should utilise synergies with MSP for addressing cumulative impacts for D7.;MT;D7;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/MT/Rec15;The Member State should establish direct measures on atmospheric deposition of contaminants.;MT;D8/D9;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/MT/Rec16;The Member State should clearly explain if and how measures cover the biological effects of contaminants.;MT;D8/D9;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/MT/Rec17;The Member State should better explain the manner in which the contaminants (D8) measures contribute to contaminants in seafood D9 targets.;MT;D8/D9;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/MT/Rec18;The Member State should address micro-litter better, through direct measures, in addition to indirect measures, in accordance with recommendations of TG Litter.;MT;D10;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/MT/Rec19;The Member State should make efforts to prevent, identify and tackle pollution hot spots (e.g. from plastic pellets, lost fishing gear, single-use plastics, etc.).;MT;D10;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/MT/Rec20;The Member State should establish measures to cover activities that are known to produce high levels of noise, as soon as possible (e.g. shipping).;MT;D11;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/MT/Rec21;The Member State should make more efforts to address data gaps and consolidate research results to move closer to characterising the noise pressure, in line with the recommendation of TG Noise. This will enable to then define more practical and direct measures to address underwater noise in the second MSFD implementation cycle.;MT;D11;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/MT/Rec22;The Member State should establish measures that address additional aspects of this descriptor, such as heat and light.;MT;D11;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/MT/Rec23;The Member State should consider establishing additional measures to address pressures on birds beyond by-catch. Measures could target the effects of NIS, contaminants and marine litter. If these are to be addressed via measures reported for other descriptors, the expected effect that measures are to have on birds should be explained.;MT;D1, 4 – Birds;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/MT/Rec24;The Member State should establish spatial protection measures for fish and cephalopods.;MT;D1, 4 – Fish and cephalopods;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/MT/Rec25;The Member State should establish additional measures aiming to protect non-commercial species and functional fish habitats.;MT;D1, 4 – Fish and cephalopods;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/MT/Rec26;The Member State should clearly indicate whether it developed measures for cephalopods. ;MT;D1, 4 – Fish and cephalopods;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/MT/Rec27;The Member State should provide better information on the level of protection provided for fish (commercial and non-commercial), in relation to where fish species occur within the Member State's territorial waters, and how they are protected.;MT;D1, 4 – Fish and cephalopods;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/MT/Rec28;The Member State should consider establishing additional measures to address pressures on fish beyond by-catch. Measures could target the effects of NIS, marine litter and underwater noise. If these are to be addressed via measures reported for other descriptors, the expected effect that measures are to have on fish should be explained.;MT;D1, 4 – Fish and cephalopods;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/MT/Rec29;The Member State should consider establishing additional measures to address relevant pressures on mammals beyond by-catch (e.g. underwater noise due to shipping, contaminants and marine litter). If these are to be addressed via measures reported for other descriptors, the expected effect that measures are to have on mammals should be explained. ;MT;D1, 4 – Mammals;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/MT/Rec30;The Member State should more clearly indicate which measures reported under other descriptors address pressures for water column habitats (and plankton).;MT;D1, 4, 6 – Seabed habitats;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/MT/Rec31;The Member State should establish measures addressing physical damage from industry and urban activities. If these are to be addressed via measures reported for other descriptors, the expected effect that measures are to have on seabed habitats should be explained.;MT;D1, 4, 6 – Seabed habitats;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/MT/Rec32;The Member State should establish measures covering destructive fishing practices (trawling) beyond MPAs and deep sea areas.;MT;D1, 4, 6 – Seabed habitats;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/MT/Rec33;If seabed habitats are to be addressed via measures reported for other descriptors (e.g. D2, D8, D10), the Member State should explain the expected effect that measures have on seabed habitats.;MT;D1, 4, 6 – Seabed habitats;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/MT/Rec34;The Member State should provide more robust justifications for its exceptions, when these are assessed as partially grounded (marine litter (D10)).;MT;Exceptions;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/NL/Rec01;In general, the Member State should better address certain pressures and activities. These are specified in the descriptor specific recommendations below.;NL;General;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/NL/Rec02;The Member State should establish additional measures to fully address GES definition for water column habitats (D1, 4) and define targets for this descriptor.;NL;General;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/NL/Rec03;The Member State should strive to determine the timelines for achieving GES (relevant for NIS (D2)) and, where there are delays beyond 2020, to report exceptions provided these are adequately justified (relevant for biodiversity (D1, 4, 6) and commercial fish and shellfish (D3)). Furthermore, if GES is not expected to be achieved by 2020, then the Member State should estimate the alternative dates by when GES will be achieved (relevant to D5 and D8).;NL;General;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/NL/Rec04;The Member State should establish more links with existing EU policies and international instruments for eutrophication (D5), hydrographical changes (D7) and contaminants (D8).;NL;General;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/NL/Rec05;The Member State should quantify the pressures present in its waters and their expected level of reduction as a result of the established measures. This could be facilitated by further efforts to address knowledge gaps and define the methodology for such estimations at regional or EU level. Such quantification will also contribute to linking the measures with the achievement of GES.;NL;General;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/NL/Rec06;The Member State should provide more information about its spatial protection measures (representation of species and habitats within the MPAs, the size, number and location of MPAs, the conservation objectives of the MPAs and the policies and measures that will be in place within these areas).;NL;General;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/NL/Rec07;The Member State should indicate a timeline for the implementation of the measures (especially for biodiversity (D1,4,6), NIS (D2), commercial fish and shellfish (D3), eutrophication (D5), marine litter (D10) and underwater noise and energy (D11)).;NL;General;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/NL/Rec08;The Member State should develop more research efforts to fill knowledge gaps and provide an assessment on when GES will be achieved.;NL;General;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/NL/Rec09;The Member State should ensure coherence of its determinations of GES, environmental targets and the PoM. This would allow to use environmental targets systematically as milestones towards achieving GES through the measures, and monitor this progress through the MSFD monitoring programmes. This is applicable mainly to birds, mammals, fish, water column habitats and seabed habitats (D1, 4, 6).;NL;General;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
